Row Index, Column Index
1025006, 1006564
1027689, 1121919
1031320, 1119160
1037314, 1038343
1039151, 1061918
1041202, 1537963
1048766, 1081454
1072852, 1275456
1076802, 1177356
1080910, 1198487
1096524, 1004250
1101431, 1004198
1106490, 1026159
1108192, 1003851
1114389, 1018217
1125451, 1035769
1128744, 1003045
1129875, 7444354
1146540, 1131331
1159060, 1110118
1168010, 1060540
1173470, 1845020
1173866, 1275739
1176016, 2604330
1192230, 1553087
1208267, 1355866
1220265, 1278577
1245327, 1601433
1250048, 1065167
1253600, 1163877
1256661, 1055685
1262867, 1011325
1281730, 1127943
1294415, 1434196
1310216, 1380368
1318268, 1462384
1324357, 1011428
1348373, 1263360
1349400, 1002893
1361160, 1328287
1364526, 1190025
1365540, 1547213
1370320, 1701203
1378980, 2509648
1380964, 1149593
1383859, 1263284
1388447, 1779301
1393791, 1201424
1395542, 2996400
1397122, 1424208
1411666, 1796706
1413552, 1119707
1414351, 1101890
1421135, 1689260
1431176, 1124336
1436495, 1086802
1450217, 2211145
1468092, 1028099
1478187, 1233823
1478458, 1483625
1480655, 1111766
1502646, 1013329
1514508, 7460175
1538044, 1258222
1540147, 1303207
1558755, 2062106
1565351, 3174002
1570479, 1176418
1581769, 1189441
1587060, 1282323
1587671, 1025028
1590214, 1014173
1590477, 1191098
1622527, 1114614
1623817, 1017022
1624215, 1115351
1649241, 1121224
1671187, 2074444
1676594, 1397206
1677204, 1303270
1693867, 1578522
1695838, 1240268
1710419, 1341629
1714906, 1620632
1715479, 1049985
1726680, 1152061
1752337, 1742993
1752780, 1027125
1756699, 2542427
1763216, 2800964
1763876, 1004152
1786205, 1400326
1789554, 2560460
1815038, 1479855
1816154, 1076809
1817069, 1023091
1825828, 1648181
1842482, 1179273
1859361, 1067391
1865256, 1092637
1867787, 1401365
1890029, 1059738
1912858, 1669226
1914090, 1081386
1921828, 1262880
1922928, 1012031
1929092, 1275112
1944507, 1084789
1957272, 1089420
1957817, 1493977
1962191, 1102358
1963423, 1065673
1971757, 1289645
1975722, 1776204
1992650, 1608232
2007462, 1310776
2007734, 2857612
2009743, 3013133
2013080, 1850842
2042258, 3254592
2050252, 2038660
2050676, 2009708
2059171, 1148251
2071481, 1028951
2078602, 1164692
2087420, 1298347
2110014, 1196214
2129510, 2194988
2150502, 1076232
2175276, 1189401
2192784, 1004107
2214665, 1408550
2228910, 1068114
2236439, 1115979
2274071, 1044022
2336831, 1082880
2342501, 1218205
2352538, 1382692
2358105, 1018331
2383517, 1259815
2395423, 1337413
2399988, 2038217
2400286, 1075484
2419137, 1340073
2546174, 1214234
2548611, 2044032
2555743, 1025648
2629602, 2605703
2635656, 1174468
2663920, 1709014
2705099, 1712704
2719231, 2241413
2727625, 1178007
2754394, 3302560
2776660, 1444205
2788637, 1018933
2795852, 1026861
2800139, 1332886
2802862, 1818319
2833292, 1045204
2836887, 1150917
2837411, 1047419
2856145, 1444523
2909473, 1076975
2910014, 1003981
2923446, 2545014
2972611, 1041259
2978281, 1178049
2980670, 1028298
2985315, 1030303
3013594, 1211216
3041963, 1395996
3052177, 1352011
3068580, 8621907
3077865, 1177807
3080482, 1440114
3084515, 1011413
3103473, 1336028
3109813, 1038112
3116371, 1739362
3133359, 1453518
3143380, 2055488
3164642, 1951435
3180115, 1297958
3209315, 1219226
3214324, 1808008
3219289, 8654327
3233380, 1505300
3260027, 3291095
3274330, 2738910
3281224, 1306133
3328810, 1408533
3354603, 3358605
3355570, 1337654
3373488, 1174841
3373691, 1223422
3376603, 1994402
3407426, 1202373
3430209, 1667006
3446019, 2690131
3446159, 1188581
3449198, 1735216
3461876, 1233244
3462096, 1826515
3464392, 1408106
3487733, 2032782
3950147, 1527768
4140643, 1151825
4219198, 1281026
4416458, 1066432
4921582, 1563345
5299417, 1000186
5801381, 1726219
5865348, 1532038
5872464, 1320238
6371943, 1051954
6499625, 1173654
6631048, 1408489
7021338, 1184408
7560321, 1513882
7944102, 1137640
7951777, 1123270
8334185, 1130305
8362206, 1262385
8641799, 1008991
9006384, 1093273
9325774, 1548354
9472697, 1194865
9938557, 2378935
